mode,include_basic,include_local,include_pmi,include_npmi,include_llr,TFIDF_param,COOCC_param,PMI_param,NPMI_param,LLR_param,average_score
linear,True,True,True,True,False,0.4,0.4,1.0,1.0,0.5,277750.607653122
linear,True,True,True,True,False,0.4,0.4,1.0,1.0,1.0,277750.607653122
linear,True,True,True,True,False,0.4,0.4,1.0,1.0,1.5,277750.607653122
linear,True,True,True,True,False,0.4,0.4,1.0,1.5,0.5,277754.87288691185
linear,True,True,True,True,False,0.4,0.4,1.0,1.5,1.0,277754.87288691185
linear,True,True,True,True,False,0.4,0.4,1.0,1.5,1.5,277754.87288691185
linear,True,True,True,True,False,0.4,0.4,1.2,0.5,0.5,277760.55262854375
linear,True,True,True,True,False,0.4,0.4,1.2,0.5,1.0,277760.55262854375
linear,True,True,True,True,False,0.4,0.4,1.2,0.5,1.5,277760.55262854375
linear,True,True,True,True,False,0.4,0.4,1.2,1.0,0.5,277764.8178623337
linear,True,True,True,True,False,0.4,0.4,1.2,1.0,1.0,277764.8178623337
linear,True,True,True,True,False,0.4,0.4,1.2,1.0,1.5,277764.8178623337
linear,True,True,True,True,False,0.4,0.4,1.2,1.5,0.5,277769.0830961236
linear,True,True,True,True,False,0.4,0.4,1.2,1.5,1.0,277769.0830961236
linear,True,True,True,True,False,0.4,0.4,1.2,1.5,1.5,277769.0830961236
linear,True,True,True,True,False,0.4,0.6,0.8,0.5,0.5,412130.43469745386
linear,True,True,True,True,False,0.4,0.6,0.8,0.5,1.0,412130.43469745386
linear,True,True,True,True,False,0.4,0.6,0.8,0.5,1.5,412130.43469745386
linear,True,True,True,True,False,0.4,0.6,0.8,1.0,0.5,412134.60851903434
linear,True,True,True,True,False,0.4,0.6,0.8,1.0,1.0,412134.60851903434
linear,True,True,True,True,False,0.4,0.6,0.8,1.0,1.5,412134.60851903434
linear,True,True,True,True,False,0.4,0.6,0.8,1.5,0.5,412138.78234061506
linear,True,True,True,True,False,0.4,0.6,0.8,1.5,1.0,412138.78234061506
linear,True,True,True,True,False,0.4,0.6,0.8,1.5,1.5,412138.78234061506
linear,True,True,True,True,False,0.4,0.6,1.0,0.5,0.5,412144.286077765
linear,True,True,True,True,False,0.4,0.6,1.0,0.5,1.0,412144.286077765
linear,True,True,True,True,False,0.4,0.6,1.0,0.5,1.5,412144.286077765
linear,True,True,True,True,False,0.4,0.6,1.0,1.0,0.5,412148.45989934553
linear,True,True,True,True,False,0.4,0.6,1.0,1.0,1.0,412148.45989934553
linear,True,True,True,True,False,0.4,0.6,1.0,1.0,1.5,412148.45989934553
linear,True,True,True,True,False,0.4,0.6,1.0,1.5,0.5,412152.6660487446
linear,True,True,True,True,False,0.4,0.6,1.0,1.5,1.0,412152.6660487446
linear,True,True,True,True,False,0.4,0.6,1.0,1.5,1.5,412152.6660487446
linear,True,True,True,True,False,0.4,0.6,1.2,0.5,0.5,412158.3457903766
linear,True,True,True,True,False,0.4,0.6,1.2,0.5,1.0,412158.3457903766
linear,True,True,True,True,False,0.4,0.6,1.2,0.5,1.5,412158.3457903766
linear,True,True,True,True,False,0.4,0.6,1.2,1.0,0.5,412162.6110241663
linear,True,True,True,True,False,0.4,0.6,1.2,1.0,1.0,412162.6110241663
linear,True,True,True,True,False,0.4,0.6,1.2,1.0,1.5,412162.6110241663
linear,True,True,True,True,False,0.4,0.6,1.2,1.5,0.5,412166.8762579563
linear,True,True,True,True,False,0.4,0.6,1.2,1.5,1.0,412166.8762579563
linear,True,True,True,True,False,0.4,0.6,1.2,1.5,1.5,412166.8762579563
linear,True,True,True,True,False,0.6,0.2,0.8,0.5,0.5,147774.01249956625
linear,True,True,True,True,False,0.6,0.2,0.8,0.5,1.0,147774.01249956625
linear,True,True,True,True,False,0.6,0.2,0.8,0.5,1.5,147774.01249956625
linear,True,True,True,True,False,0.6,0.2,0.8,1.0,0.5,147778.10797309474
linear,True,True,True,True,False,0.6,0.2,0.8,1.0,1.0,147778.10797309474
linear,True,True,True,True,False,0.6,0.2,0.8,1.0,1.5,147778.10797309474
linear,True,True,True,True,False,0.6,0.2,0.8,1.5,0.5,147782.2034466233
linear,True,True,True,True,False,0.6,0.2,0.8,1.5,1.0,147782.2034466233
linear,True,True,True,True,False,0.6,0.2,0.8,1.5,1.5,147782.2034466233
linear,True,True,True,True,False,0.6,0.2,1.0,0.5,0.5,147787.5804851753
linear,True,True,True,True,False,0.6,0.2,1.0,0.5,1.0,147787.5804851753
linear,True,True,True,True,False,0.6,0.2,1.0,0.5,1.5,147787.5804851753
linear,True,True,True,True,False,0.6,0.2,1.0,1.0,0.5,147791.6759587038
